Laptop,Color Choice,Graphics Card,Hard Drive,Memory,Operating System,Processor,Display,Keyboard,final price
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),15489.02111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),16672.37111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),15725.69111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),16909.04111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,16672.37111
m15-r4,_,3070 8GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,17855.72111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),16277.92111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),17461.27111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),16514.59111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware mSeries per-key AlienFX RGB keyboard (Optional),17697.94111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,17461.27111
m15-r4,_,3070 8GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 144Hz 3ms 300-nits 100% sRGB color gamut + NVIDIA G-SYNC & Advanced Optimus",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,18644.62111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),14305.67111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),15489.02111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),14542.34111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),15725.69111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,15489.02111
m15-r4,_,3060 6GB GDDR6,512GB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,16672.37111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),15094.57111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries 4-Zone AlienFX RGB keyboard (Standard),16277.92111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),15331.24111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,32GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware mSeries per-key AlienFX RGB keyboard (Optional),16514.59111
m15-r4,_,3060 6GB GDDR6,1TB PCIe M.2 SSD,16GB,home,i7,"15.6"" FHD (1920 x 1080) 300Hz 3ms 300-nits 100% sRGB color gamut",Alienware's CherryMX ultra low-profile mechanical laptop keyboard with per-key AlienFX lighting,16277.92111
